p cnf 658 2540
1 16 -24 0
1 -16 -24 0
-1 16 -24 0
-1 -16 24 0
2 16 -25 0
2 -16 -25 0
-2 16 -25 0
-2 -16 25 0
3 16 -26 0
3 -16 -26 0
-3 16 -26 0
-3 -16 26 0
4 16 -27 0
4 -16 -27 0
-4 16 -27 0
-4 -16 27 0
5 16 -28 0
5 -16 -28 0
-5 16 -28 0
-5 -16 28 0
6 16 -29 0
6 -16 -29 0
-6 16 -29 0
-6 -16 29 0
7 16 -30 0
7 -16 -30 0
-7 16 -30 0
-7 -16 30 0
8 16 -31 0
8 -16 -31 0
-8 16 -31 0
-8 -16 31 0
9 16 -32 0
9 -16 -32 0
-9 16 -32 0
-9 -16 32 0
10 16 -33 0
10 -16 -33 0
-10 16 -33 0
-10 -16 33 0
11 16 -34 0
11 -16 -34 0
-11 16 -34 0
-11 -16 34 0
12 16 -35 0
12 -16 -35 0
-12 16 -35 0
-12 -16 35 0
13 16 -36 0
13 -16 -36 0
-13 16 -36 0
-13 -16 36 0
14 16 -37 0
14 -16 -37 0
-14 16 -37 0
-14 -16 37 0
15 16 -38 0
15 -16 -38 0
-15 16 -38 0
-15 -16 38 0
1 17 -39 0
1 -17 -39 0
-1 17 -39 0
-1 -17 39 0
25 39 -40 0
25 -39 -40 0
-25 39 -40 0
-25 -39 40 0
25 39 -41 0
25 -39 41 0
-25 39 41 0
-25 -39 -41 0
2 17 -42 0
2 -17 -42 0
-2 17 -42 0
-2 -17 42 0
26 42 -43 0
26 -42 -43 0
-26 42 -43 0
-26 -42 43 0
26 42 -44 0
26 -42 44 0
-26 42 44 0
-26 -42 -44 0
3 17 -45 0
3 -17 -45 0
-3 17 -45 0
-3 -17 45 0
27 45 -46 0
27 -45 -46 0
-27 45 -46 0
-27 -45 46 0
27 45 -47 0
27 -45 47 0
-27 45 47 0
-27 -45 -47 0
4 17 -48 0
4 -17 -48 0
-4 17 -48 0
-4 -17 48 0
28 48 -49 0
28 -48 -49 0
-28 48 -49 0
-28 -48 49 0
28 48 -50 0
28 -48 50 0
-28 48 50 0
-28 -48 -50 0
5 17 -51 0
5 -17 -51 0
-5 17 -51 0
-5 -17 51 0
29 51 -52 0
29 -51 -52 0
-29 51 -52 0
-29 -51 52 0
29 51 -53 0
29 -51 53 0
-29 51 53 0
-29 -51 -53 0
6 17 -54 0
6 -17 -54 0
-6 17 -54 0
-6 -17 54 0
30 54 -55 0
30 -54 -55 0
-30 54 -55 0
-30 -54 55 0
30 54 -56 0
30 -54 56 0
-30 54 56 0
-30 -54 -56 0
7 17 -57 0
7 -17 -57 0
-7 17 -57 0
-7 -17 57 0
31 57 -58 0
31 -57 -58 0
-31 57 -58 0
-31 -57 58 0
31 57 -59 0
31 -57 59 0
-31 57 59 0
-31 -57 -59 0
8 17 -60 0
8 -17 -60 0
-8 17 -60 0
-8 -17 60 0
32 60 -61 0
32 -60 -61 0
-32 60 -61 0
-32 -60 61 0
32 60 -62 0
32 -60 62 0
-32 60 62 0
-32 -60 -62 0
9 17 -63 0
9 -17 -63 0
-9 17 -63 0
-9 -17 63 0
33 63 -64 0
33 -63 -64 0
-33 63 -64 0
-33 -63 64 0
33 63 -65 0
33 -63 65 0
-33 63 65 0
-33 -63 -65 0
10 17 -66 0
10 -17 -66 0
-10 17 -66 0
-10 -17 66 0
34 66 -67 0
34 -66 -67 0
-34 66 -67 0
-34 -66 67 0
34 66 -68 0
34 -66 68 0
-34 66 68 0
-34 -66 -68 0
11 17 -69 0
11 -17 -69 0
-11 17 -69 0
-11 -17 69 0
35 69 -70 0
35 -69 -70 0
-35 69 -70 0
-35 -69 70 0
35 69 -71 0
35 -69 71 0
-35 69 71 0
-35 -69 -71 0
12 17 -72 0
12 -17 -72 0
-12 17 -72 0
-12 -17 72 0
36 72 -73 0
36 -72 -73 0
-36 72 -73 0
-36 -72 73 0
36 72 -74 0
36 -72 74 0
-36 72 74 0
-36 -72 -74 0
13 17 -75 0
13 -17 -75 0
-13 17 -75 0
-13 -17 75 0
37 75 -76 0
37 -75 -76 0
-37 75 -76 0
-37 -75 76 0
37 75 -77 0
37 -75 77 0
-37 75 77 0
-37 -75 -77 0
14 17 -78 0
14 -17 -78 0
-14 17 -78 0
-14 -17 78 0
38 78 -79 0
38 -78 -79 0
-38 78 -79 0
-38 -78 79 0
38 78 -80 0
38 -78 80 0
-38 78 80 0
-38 -78 -80 0
15 17 -81 0
15 -17 -81 0
-15 17 -81 0
-15 -17 81 0
1 18 -82 0
1 -18 -82 0
-1 18 -82 0
-1 -18 82 0
44 82 -83 0
44 -82 -83 0
-44 82 -83 0
-44 -82 83 0
44 82 -84 0
44 -82 84 0
-44 82 84 0
-44 -82 -84 0
40 84 -85 0
40 -84 -85 0
-40 84 -85 0
-40 -84 85 0
40 84 -86 0
40 -84 86 0
-40 84 86 0
-40 -84 -86 0
83 85 -87 0
83 -85 87 0
-83 85 87 0
-83 -85 -87 0
2 18 -88 0
2 -18 -88 0
-2 18 -88 0
-2 -18 88 0
47 88 -89 0
47 -88 -89 0
-47 88 -89 0
-47 -88 89 0
47 88 -90 0
47 -88 90 0
-47 88 90 0
-47 -88 -90 0
43 90 -91 0
43 -90 -91 0
-43 90 -91 0
-43 -90 91 0
43 90 -92 0
43 -90 92 0
-43 90 92 0
-43 -90 -92 0
89 91 -93 0
89 -91 93 0
-89 91 93 0
-89 -91 -93 0
3 18 -94 0
3 -18 -94 0
-3 18 -94 0
-3 -18 94 0
50 94 -95 0
50 -94 -95 0
-50 94 -95 0
-50 -94 95 0
50 94 -96 0
50 -94 96 0
-50 94 96 0
-50 -94 -96 0
46 96 -97 0
46 -96 -97 0
-46 96 -97 0
-46 -96 97 0
46 96 -98 0
46 -96 98 0
-46 96 98 0
-46 -96 -98 0
95 97 -99 0
95 -97 99 0
-95 97 99 0
-95 -97 -99 0
4 18 -100 0
4 -18 -100 0
-4 18 -100 0
-4 -18 100 0
53 100 -101 0
53 -100 -101 0
-53 100 -101 0
-53 -100 101 0
53 100 -102 0
53 -100 102 0
-53 100 102 0
-53 -100 -102 0
49 102 -103 0
49 -102 -103 0
-49 102 -103 0
-49 -102 103 0
49 102 -104 0
49 -102 104 0
-49 102 104 0
-49 -102 -104 0
101 103 -105 0
101 -103 105 0
-101 103 105 0
-101 -103 -105 0
5 18 -106 0
5 -18 -106 0
-5 18 -106 0
-5 -18 106 0
56 106 -107 0
56 -106 -107 0
-56 106 -107 0
-56 -106 107 0
56 106 -108 0
56 -106 108 0
-56 106 108 0
-56 -106 -108 0
52 108 -109 0
52 -108 -109 0
-52 108 -109 0
-52 -108 109 0
52 108 -110 0
52 -108 110 0
-52 108 110 0
-52 -108 -110 0
107 109 -111 0
107 -109 111 0
-107 109 111 0
-107 -109 -111 0
6 18 -112 0
