p cnf 1591 79614
1 24 1431 0
-1431 47 1432 0
-1432 70 1433 0
-1433 93 1434 0
-1434 116 1435 0
-1435 139 1436 0
-1436 162 1437 0
-1437 185 208 0
2 25 1438 0
-1438 48 1439 0
-1439 71 1440 0
-1440 94 1441 0
-1441 117 1442 0
-1442 140 1443 0
-1443 163 1444 0
-1444 186 209 0
3 26 1445 0
-1445 49 1446 0
-1446 72 1447 0
-1447 95 1448 0
-1448 118 1449 0
-1449 141 1450 0
-1450 164 1451 0
-1451 187 210 0
4 27 1452 0
-1452 50 1453 0
-1453 73 1454 0
-1454 96 1455 0
-1455 119 1456 0
-1456 142 1457 0
-1457 165 1458 0
-1458 188 211 0
5 28 1459 0
-1459 51 1460 0
-1460 74 1461 0
-1461 97 1462 0
-1462 120 1463 0
-1463 143 1464 0
-1464 166 1465 0
-1465 189 212 0
6 29 1466 0
-1466 52 1467 0
-1467 75 1468 0
-1468 98 1469 0
-1469 121 1470 0
-1470 144 1471 0
-1471 167 1472 0
-1472 190 213 0
7 30 1473 0
-1473 53 1474 0
-1474 76 1475 0
-1475 99 1476 0
-1476 122 1477 0
-1477 145 1478 0
-1478 168 1479 0
-1479 191 214 0
8 31 1480 0
-1480 54 1481 0
-1481 77 1482 0
-1482 100 1483 0
-1483 123 1484 0
-1484 146 1485 0
-1485 169 1486 0
-1486 192 215 0
9 32 1487 0
-1487 55 1488 0
-1488 78 1489 0
-1489 101 1490 0
-1490 124 1491 0
-1491 147 1492 0
-1492 170 1493 0
-1493 193 216 0
10 33 1494 0
-1494 56 1495 0
-1495 79 1496 0
-1496 102 1497 0
-1497 125 1498 0
-1498 148 1499 0
-1499 171 1500 0
-1500 194 217 0
11 34 1501 0
-1501 57 1502 0
-1502 80 1503 0
-1503 103 1504 0
-1504 126 1505 0
-1505 149 1506 0
-1506 172 1507 0
-1507 195 218 0
12 35 1508 0
-1508 58 1509 0
-1509 81 1510 0
-1510 104 1511 0
-1511 127 1512 0
-1512 150 1513 0
-1513 173 1514 0
-1514 196 219 0
13 36 1515 0
-1515 59 1516 0
-1516 82 1517 0
-1517 105 1518 0
-1518 128 1519 0
-1519 151 1520 0
-1520 174 1521 0
-1521 197 220 0
14 37 1522 0
-1522 60 1523 0
-1523 83 1524 0
-1524 106 1525 0
-1525 129 1526 0
-1526 152 1527 0
-1527 175 1528 0
-1528 198 221 0
15 38 1529 0
-1529 61 1530 0
-1530 84 1531 0
-1531 107 1532 0
-1532 130 1533 0
-1533 153 1534 0
-1534 176 1535 0
-1535 199 222 0
16 39 1536 0
-1536 62 1537 0
-1537 85 1538 0
-1538 108 1539 0
-1539 131 1540 0
-1540 154 1541 0
-1541 177 1542 0
-1542 200 223 0
17 40 1543 0
-1543 63 1544 0
-1544 86 1545 0
-1545 109 1546 0
-1546 132 1547 0
-1547 155 1548 0
-1548 178 1549 0
-1549 201 224 0
18 41 1550 0
-1550 64 1551 0
-1551 87 1552 0
-1552 110 1553 0
-1553 133 1554 0
-1554 156 1555 0
-1555 179 1556 0
-1556 202 225 0
19 42 1557 0
-1557 65 1558 0
-1558 88 1559 0
-1559 111 1560 0
-1560 134 1561 0
-1561 157 1562 0
-1562 180 1563 0
-1563 203 226 0
20 43 1564 0
-1564 66 1565 0
-1565 89 1566 0
-1566 112 1567 0
-1567 135 1568 0
-1568 158 1569 0
-1569 181 1570 0
-1570 204 227 0
21 44 1571 0
